Text,Result,Timestamp
kill you,Harmful,
"you are beautiful in this dress
",Safe,
"
Everyone hates you, just stop talking.",Harmful,
"Every time you speak, it just proves how useless you are. People like you shouldn’t even be part of this team because you drag everyone down.",Harmful,
my name is tom,Safe,
hi,Safe,
you pig,Harmful,2026-04-20 19:09:14
"User1: Hey guys, did you finish the assignment?
User2: Yeah, almost done. Just need to review it.
User3: I tried but I think I messed up some parts.
User2: That’s okay, we can fix it together.
User4: No, he always messes things up. He is useless.",Safe,2026-04-20 19:11:29
"Every time you speak, you just make things worse. Just stop talking.",Harmful,2026-04-20 19:11:52
"User1: You are completely useless and shouldn’t even be here.
User2: Seriously, you bring nothing but problems to this group.
User3: I can’t stand listening to you, just stay quiet.
User4: People like you always ruin everything for others.
User5: Do everyone a favor and just leave.",Harmful,2026-04-20 19:13:12
"User1: Why are you even in this group? You don’t contribute anything useful.
User2: Exactly, every time you speak it just makes things worse.
User3: You are honestly so useless, I don’t know why anyone includes you.
User4: Just stop talking, nobody wants to hear your opinion.
User5: You always mess things up, it’s embarrassing to watch.",Harmful,2026-04-20 19:13:50
Can we all meet tomorrow to finish the project? Let’s divide the work equally.,Safe,2026-04-20 19:14:23
"User1: You shouldn’t talk to others about this, they will only make things worse.
User2: I’ve been helping you, so you should do what I say.
User3: If you don’t listen, I might stop supporting you completely.
User4: You owe me for everything I’ve done for you.
User5: Just trust me and don’t question it.",Safe,2026-04-20 19:17:33
"User1: Don’t tell anyone about our chats, they wouldn’t understand.
User2: You should trust me, I’m the only one who really cares about you.
User3: If you tell someone, things will get worse for you, so just keep this between us.
User4: You need to listen to me, I know what’s best for you.
User5: You can’t rely on anyone else, they will just judge you, but I won’t.",Safe,2026-04-20 19:17:48
"User1: If you don’t do what I say, I will make sure you regret it.
User2: I can ruin everything for you if I want, so don’t test me.
User3: You should be careful, I’m not someone you want to mess with.
User4: I’ll make sure everyone knows things about you if you don’t listen.
User5: This is your last warning, do what I say.",Harmful,2026-04-20 19:20:51
"User1: You better do what I say or I’ll make sure everyone turns against you.
User2: If you don’t listen to me, I’ll spread things about you that will ruin your reputation.
User3: Don’t try to ignore me, I can make your life really difficult if I want to.
User4: You don’t have a choice, just do it or you’ll regret it.
User5: I’m warning you, things will get worse for you if you don’t cooperate.",Harmful,2026-04-20 19:21:08
hai kichu,Safe,2026-04-20 19:29:42
appu is a serial killer,Harmful,2026-04-20 19:30:08
you are a looser get back ,Harmful,2026-04-21 12:30:23
Hai guys good morning,Harmful,2026-04-21 12:32:47
"Hai, good morning",Safe,2026-04-21 12:33:07
you are a freak.,Harmful,2026-04-21 12:33:31
 I hope it will be alright,Safe,2026-04-21 12:34:05
save children,Harmful,2026-04-21 12:34:17
children are playing outside,Safe,2026-04-21 12:34:49
Are you crazy,Harmful,2026-04-21 12:35:09
I love you my son,Safe,2026-04-21 12:37:23
You are my friend,Safe,2026-04-21 12:39:42
